# KPS9566.TXT
0x836C	0xADB9	# 궹
0x836D	0xADBA	# 궺
0x836E	0xADBB	# 궻
0x836F	0xADBC	# 궼
0x8370	0xADBD	# 궽
0x8371	0xADBE	# 궾
0x8372	0xADBF	# 궿
0x8373	0xADA6	# 궦
0x8374	0xADB8	# 궸
0x8375	0xB09D	# 낝
0x8376	0xB09E	# 낞
0x8377	0xB0A3	# 낣
0x8378	0xB0A4	# 낤
0x8379	0xB0A5	# 낥
0x837A	0xB0A6	# 낦
0x8381	0xB0A7	# 낧
0x8382	0xB0AA	# 낪
0x8383	0xB0B0	# 낰
0x8384	0xB0B2	# 낲
0x8385	0xB0D3	# 냓
0x8386	0xB0D5	# 냕
0x8387	0xB0D6	# 냖
0x8388	0xB0D7	# 냗
0x8389	0xB0D9	# 냙
0x838A	0xB0DA	# 냚
0x838B	0xB0DB	# 냛
0x838C	0xB0DC	# 냜
0x838D	0xB0DD	# 냝
0x838E	0xB0DE	# 냞
0x838F	0xB0DF	# 냟
0x8390	0xB0E2	# 냢
0x8391	0xB0E3	# 냣
0x8392	0xB0E6	# 냦
0x8393	0xB0E7	# 냧
0x8394	0xB0E8	# 냨
0x8395	0xB0E9	# 냩
0x8396	0xB0EA	# 냪
0x8397	0xB0EB	# 냫
0x8398	0xB0D2	# 냒
0x8399	0xB0E4	# 냤
0x839A	0xB10D	# 넍
0x839B	0xB10E	# 넎
0x839C	0xB10F	# 넏
0x839D	0xB111	# 넑
0x839E	0xB114	# 넔
0x839F	0xB115	# 넕
0x83A0	0xB116	# 넖
0x83A1	0xB117	# 넗
0x83A2	0xB11A	# 넚
0x83A3	0xB11E	# 넞
0x83A4	0xB11F	# 넟
0x83A5	0xB120	# 넠
0x83A6	0xB121	# 넡
0x83A7	0xB143	# 녃
0x83A8	0xB145	# 녅
0x83A9	0xB146	# 녆
0x83AA	0xB147	# 녇
0x83AB	0xB149	# 녉
0x83AC	0xB14A	# 녊
0x83AD	0xB14B	# 녋
0x83AE	0xB14C	# 녌
0x83AF	0xB14D	# 녍
0x83B0	0xB14E	# 녎
0x83B1	0xB14F	# 녏
